"Family","Scientific Name","Common Name","Category","Height","Width","Est Root Vol.","Surface Area (m2)","Field Size Index","Shape/Habit","Est. Crown Clearance (m)","Natural Form","Est. Lifespan (years)","Growth rate","Shade Density","Deciduous","Leaf/Fruit drop","Aspect","Powerlines","Drought","Wind","Salt","Water Req.","Drainage","Soil Types","Root Vigour","Uses","Appeal/Value","Weed Risk","Commercially Available"
"MYRTACEAE","Acmena","Broad-leaved","Australian",6,4,8,13,9,"Round","<1.5m","Bush","25-50","Moderate","Dense","No","Moderate","Full","Yes-Pruned","Moderate","High","High","Moderate","Moderate","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Acmena","Lillypilly","Local",10,6,17,28,40,"Round","1.5-3m","Bush","25-50","Moderate","Dense","No","High","Full","No","Low","Moderate","Moderate","High","Moderate","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Attracts","Low","Yes"
"MYRTACEAE","Acmena","Lillypilly","Australian",6,4,8,13,9,"Oval,Round","<1.5m","Bush","25-50","Fast","Dense","No","Low","Full","Yes-Pruned","Moderate","High","Moderate","Moderate","M","Sand,Loam,Clay","Minor","Residential,Parks","Foliage,","Low","Yes"
"MYRTACEAE","Acmena","Dwarf","Local",4,3,4,7,4,"Oval,Round","<1.5m","Bush","25-50","Moderate","Dense","No","Moderate","Full","Yes-Under","Low","Moderate","Moderate","High","Moderate","Sand,Loam,Clay","Minor","Residential,Parks","Flowers,Attracts","Low","Yes"
"FABACEAE","Acrocarpus","Pink","Exotic",20,10,47,78,220,"Round,Spreading",">5m","Lateral",">50","Fast","Low","Yes","Moderate","Full","No","Moderate","Low","Moderate","High","Moderate,Well","Sand,Loam","Major","Parks","Foliage","Low","No"
"RUTACEAE","Acronychia","White","Trial",8,4,8,13,26,"Conical/Pyrimidal,Oval","1.5-3m","Bush","25-50","Slow","Dense","No","Moderate","Full","Yes-Pruned","Low","Low","Moderate","Moderate","Moderate","Sand,Loam","Minor","Residential,Parks","Foliage,Attracts","Low","No"
"SAPINDACEAE","Aesculus","Indian","Exotic",12,10,47,78,79,"Broad-domed,Spreading","<1.5m","Lateral",">50","Moderate","Dense","Semi","Moderate","Full","No","Moderate","High","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Major","Parks","Flowers,Foliage","Low","Yes"
"ARUACARIACEAE","Agathis","Kauri","Australian",25,10,47,79,344,"Columnar",">5m","Vertical/Upright,Umbrella-shaped",">50","Slow","Dense","No","Low","Full","No","High","High","High","Moderate","Moderate","Sand,Loam","Major","Parks","Foliage,Bark/Trunk","Low","Yes"
"FABACEAE","Albizia","Mimosa,Silk","Exotic",12,10,47,78,79,"Vase,Spreading","1.5-3m","Lateral","25-50","Fast","Low","Yes","High","Full","No","High","Low","High","Low","Moderate,Well","Sand,Loam,Clay","Moderate","Residential,Parks","Flowers,Foliage,Attracts","Low","Yes"
"SAPINDACEAE","Alectryon","Native","Trial",8,6,17,28,26,"Broad-domed,Round","1.5-3m","Lateral","25-50","Moderate","Medium","No","Low","Full","No","Moderate","High","Low","Moderate","Moderate,Well","Sand,Loam,Clay","Minor","CBD,Residential,Parks","Foliage,Attracts","Low","No"
